iter	Passed	Remaining
0	20	20872
1	60	30141
2	84	28151
3	115	28791
4	139	27706
5	176	29251
6	221	31435
7	250	31088
8	291	32148
9	322	31924
10	347	31210
11	374	30849
12	397	30145
13	420	29598
14	442	29030
15	470	28945
16	495	28640
17	524	28607
18	547	28289
19	563	27631
20	599	27932
21	617	27465
22	656	27866
23	683	27785
24	705	27499
25	761	28543
26	784	28271
27	845	29356
28	893	29907
29	944	30539
30	999	31231
31	1042	31550
32	1095	32105
33	1142	32459
34	1183	32622
35	1243	33295
36	1295	33711
37	1326	33569
38	1354	33383
39	1385	33262
40	1424	33329
41	1458	33261
42	1501	33412
43	1548	33652
44	1611	34201
45	1653	34282
46	1690	34284
47	1740	34524
48	1781	34572
49	1844	35044
50	1880	34988
51	1916	34945
52	1952	34892
53	1977	34651
54	2005	34449
55	2053	34618
56	2094	34644
57	2133	34655
58	2168	34588
59	2208	34600
60	2242	34512
61	2291	34672
62	2334	34727
63	2391	34975
64	2427	34920
65	2485	35178
66	2528	35209
67	2575	35293
68	2614	35277
69	2651	35228
70	2687	35159
71	2723	35099
72	2768	35158
73	2805	35106
74	2840	35031
75	2886	35095
76	2929	35110
77	2968	35093
78	3022	35240
79	3062	35222
80	3112	35315
81	3153	35302
82	3195	35309
83	3244	35382
84	3293	35452
85	3333	35423
86	3399	35671
87	3443	35690
88	3498	35813
89	3533	35727
90	3602	35982
91	3646	35985
92	3688	35975
93	3749	36135
94	3782	36035
95	3813	35914
96	3872	36054
97	3910	35991
98	3957	36021
99	4026	36237
100	4064	36181
101	4113	36212
102	4163	36255
103	4198	36174
104	4241	36150
105	4308	36340
106	4371	36484
107	4417	36483
108	4462	36474
109	4520	36576
110	4576	36650
111	4612	36566
112	4667	36636
113	4722	36699
114	4773	36735
115	4832	36828
116	4902	37001
117	4940	36927
118	4991	36950
119	5038	36947
120	5087	36961
121	5146	37038
122	5198	37065
123	5241	37030
124	5288	37020
125	5341	37050
126	5404	37153
127	5454	37155
128	5510	37203
129	5571	37286
130	5612	37227
131	5659	37216
132	5700	37157
133	5758	37212
134	5811	37234
135	5864	37258
136	5917	37275
137	5980	37356
138	6046	37452
139	6107	37516
140	6169	37588
141	6222	37600
142	6279	37632
143	6330	37629
144	6381	37627
145	6426	37590
146	6486	37636
147	6543	37669
148	6586	37617
149	6639	37621
150	6693	37636
151	6746	37638
152	6796	37623
153	6849	37626
154	6910	37674
155	6976	37743
156	7036	37780
157	7099	37835
158	7153	37834
159	7202	37814
160	7241	37736
161	7301	37771
162	7364	37817
163	7411	37782
164	7468	37793
165	7528	37822
166	7579	37807
167	7625	37763
168	7648	37607
169	7713	37662
170	7767	37656
171	7812	37609
172	7861	37581
173	7925	37624
174	7976	37604
175	8024	37571
176	8092	37625
177	8138	37584
178	8179	37515
179	8240	37541
180	8282	37478
181	8350	37531
182	8410	37548
183	8471	37568
184	8515	37513
185	8574	37524
186	8595	37369
187	8649	37357
188	8702	37343
189	8755	37324
190	8800	37276
191	8847	37232
192	8891	37178
193	8945	37166
194	9007	37182
195	9073	37219
196	9165	37359
197	9231	37393
198	9303	37447
199	9357	37431
200	9404	37385
201	9458	37364
202	9510	37340
203	9571	37349
204	9611	37271
205	9671	37276
206	9714	37214
207	9767	37191
208	9827	37192
209	9870	37130
210	9923	37108
211	9972	37066
212	10018	37015
213	10084	37037
214	10140	37025
215	10204	37039
216	10269	37055
217	10337	37082
218	10372	36992
219	10436	37000
220	10500	37014
221	10561	37012
222	10617	36993
223	10674	36980
224	10748	37023
225	10794	36970
226	10853	36959
227	10908	36935
228	10960	36901
229	11024	36907
230	11078	36881
231	11147	36900
232	11207	36891
233	11264	36872
234	11304	36800
235	11369	36805
236	11427	36790
237	11481	36759
238	11510	36652
239	11582	36677
240	11622	36602
241	11675	36571
242	11728	36536
243	11792	36535
244	11839	36485
245	11902	36480
246	11943	36410
247	12005	36403
248	12048	36339
249	12095	36286
250	12154	36269
251	12206	36233
