iter	Passed	Remaining
0	27	27767
1	65	32444
2	97	32277
3	141	35302
4	185	36871
5	212	35208
6	242	34376
7	278	34588
8	315	34745
9	337	33367
10	363	32719
11	394	32441
12	423	32175
13	454	32030
14	485	31864
15	508	31292
16	524	30320
17	557	30409
18	590	30503
19	626	30684
20	643	30007
21	664	29560
22	689	29282
23	720	29312
24	757	29553
25	771	28896
26	805	29042
27	825	28653
28	863	28904
29	905	29292
30	957	29937
31	1009	30526
32	1070	31374
33	1128	32072
34	1187	32736
35	1226	32841
36	1259	32772
37	1297	32857
38	1342	33082
39	1390	33374
40	1423	33285
41	1460	33320
42	1508	33570
43	1546	33604
44	1587	33681
45	1629	33801
46	1701	34504
47	1755	34821
48	1788	34705
49	1830	34784
50	1885	35086
51	1935	35293
52	1982	35421
53	2021	35414
54	2063	35459
55	2116	35685
56	2174	35974
57	2227	36170
58	2268	36184
59	2296	35972
60	2317	35677
61	2365	35786
62	2404	35760
63	2437	35644
64	2476	35620
65	2513	35572
66	2549	35509
67	2589	35494
68	2628	35468
69	2682	35637
70	2716	35542
71	2760	35576
72	2803	35599
73	2853	35701
74	2902	35800
75	2949	35859
76	3040	36451
77	3078	36389
78	3124	36431
79	3172	36480
80	3197	36278
81	3243	36314
82	3292	36372
83	3322	36235
84	3366	36243
85	3425	36402
86	3461	36328
87	3522	36511
88	3586	36707
89	3619	36592
90	3646	36426
91	3674	36262
92	3700	36087
93	3738	36032
94	3788	36088
95	3845	36210
96	3876	36083
97	3933	36201
98	3971	36148
99	4010	36096
100	4043	35991
101	4077	35896
102	4114	35831
103	4175	35974
104	4228	36043
105	4277	36076
106	4306	35939
107	4359	36010
108	4417	36109
109	4475	36213
110	4523	36227
111	4565	36197
112	4615	36228
113	4650	36141
114	4714	36282
115	4763	36298
116	4812	36319
117	4853	36278
118	4906	36326
119	4952	36319
120	5003	36346
121	5038	36260
122	5112	36453
123	5177	36573
124	5246	36725
125	5298	36755
126	5353	36800
127	5402	36802
128	5475	36973
129	5529	37005
130	5592	37099
131	5654	37180
132	5709	37216
133	5778	37344
134	5818	37284
135	5871	37299
136	5924	37317
137	5981	37364
138	6056	37512
