iter	Passed	Remaining
0	25	25266
1	57	28572
2	82	27490
3	113	28225
4	135	26947
5	171	28474
6	215	30534
7	250	31057
8	292	32254
9	327	32382
10	352	31679
11	377	31112
12	399	30364
13	423	29848
14	441	29010
15	469	28863
16	493	28562
17	520	28387
18	540	27883
19	559	27414
20	602	28094
21	624	27769
22	664	28231
23	683	27810
24	703	27440
25	750	28115
26	769	27730
27	824	28628
28	861	28847
29	917	29668
30	983	30737
31	1042	31524
32	1087	31874
33	1132	32167
34	1173	32342
35	1228	32907
36	1285	33464
37	1334	33777
38	1364	33624
39	1399	33577
40	1433	33531
41	1468	33497
42	1508	33570
43	1552	33737
44	1617	34325
45	1664	34512
46	1709	34668
47	1750	34719
48	1794	34821
49	1858	35310
50	1903	35419
51	1952	35587
52	1990	35561
53	2027	35526
54	2064	35474
55	2116	35676
56	2170	35904
57	2215	35983
58	2260	36059
59	2301	36055
60	2336	35967
61	2386	36105
62	2442	36321
63	2497	36522
64	2534	36457
65	2593	36704
66	2637	36730
67	2683	36786
68	2740	36977
69	2790	37069
70	2839	37154
71	2880	37132
72	2925	37146
73	2965	37112
74	3018	37229
75	3072	37353
76	3114	37336
77	3153	37272
78	3212	37450
79	3246	37337
80	3313	37589
81	3357	37590
82	3414	37726
83	3459	37729
84	3520	37899
85	3579	38040
86	3657	38381
87	3700	38349
88	3760	38495
89	3811	38543
90	3887	38829
91	3939	38885
92	3992	38940
93	4063	39168
94	4101	39069
95	4139	38978
96	4208	39177
97	4258	39199
98	4332	39431
99	4400	39608
100	4439	39515
101	4477	39418
102	4519	39357
103	4550	39205
104	4591	39140
105	4660	39308
106	4715	39355
107	4752	39248
108	4825	39442
109	4891	39577
110	4959	39718
111	5007	39699
112	5070	39804
113	5126	39839
114	5181	39876
115	5244	39969
116	5307	40052
117	5346	39959
118	5394	39939
119	5459	40036
120	5514	40059
121	5579	40156
122	5641	40222
123	5690	40197
124	5740	40184
125	5796	40205
126	5857	40266
127	5916	40308
128	5985	40413
129	6049	40485
130	6103	40487
131	6151	40448
132	6194	40379
133	6257	40442
134	6316	40470
135	6371	40477
136	6425	40473
137	6492	40556
138	6554	40600
139	6611	40610
140	6669	40634
141	6721	40611
142	6781	40639
143	6826	40582
144	6877	40551
145	6920	40479
146	6972	40461
147	7037	40514
148	7077	40420
149	7133	40423
150	7188	40420
151	7236	40370
152	7280	40306
153	7331	40276
154	7394	40313
155	7456	40342
156	7508	40313
157	7563	40306
158	7614	40273
159	7668	40258
160	7727	40271
161	7797	40335
162	7870	40414
163	7916	40357
164	7968	40323
165	8026	40324
166	8075	40281
167	8117	40200
168	8139	40025
169	8204	40056
170	8248	39989
171	8294	39928
172	8340	39869
173	8403	39891
174	8450	39838
175	8493	39766
176	8561	39809
177	8609	39759
178	8647	39663
179	8703	39650
180	8743	39562
181	8819	39638
182	8874	39622
183	8935	39627
184	8977	39549
185	9034	39537
186	9054	39363
187	9110	39350
188	9164	39324
189	9210	39266
190	9255	39203
191	9313	39195
192	9360	39138
193	9416	39124
194	9486	39164
195	9539	39132
196	9614	39190
197	9672	39180
198	9729	39161
199	9777	39109
200	9827	39065
201	9895	39090
202	9953	39078
203	10006	39043
204	10046	38961
205	10098	38922
206	10133	38820
207	10186	38788
208	10243	38768
209	10284	38687
210	10335	38648
211	10388	38612
212	10424	38516
213	10500	38566
214	10564	38572
215	10627	38575
216	10690	38572
217	10745	38546
218	10776	38430
219	10843	38443
