iter	Logloss
0	0.6575188768
1	0.6234766954
2	0.5928744418
3	0.5642433138
4	0.5383765711
5	0.5135224241
6	0.4905874953
7	0.4698572103
8	0.4503469309
9	0.4328597826
10	0.4166222206
11	0.4018183359
12	0.3882062522
13	0.3757192486
14	0.3642079262
15	0.3533969549
16	0.3432327803
17	0.3339534232
18	0.3256525596
19	0.3179887101
20	0.3098456002
21	0.3033492061
22	0.2959062837
23	0.2903982178
24	0.2853029011
25	0.2792572103
26	0.2749316723
27	0.2688712954
28	0.2639665092
29	0.25804991
30	0.2524963458
31	0.2475609475
32	0.2431202724
33	0.2385483422
34	0.2347107946
35	0.2308543949
36	0.2273102571
37	0.2237888983
38	0.2206839636
39	0.2178420039
40	0.215494062
41	0.2131109981
42	0.2107684725
43	0.2086543201
44	0.2063907351
45	0.2042476574
46	0.2023730166
47	0.2007700386
48	0.199231306
49	0.1974328978
50	0.1958269709
51	0.1943170472
52	0.1931213716
53	0.1920180479
54	0.1910790015
55	0.1899871259
56	0.1888549698
57	0.1879229968
58	0.1870591176
59	0.1862308449
60	0.1854774063
61	0.1847003661
62	0.1839288163
63	0.1831397067
64	0.1824974238
65	0.1817732269
66	0.1810707387
67	0.1802114089
68	0.1793449368
69	0.1786421451
70	0.178014821
71	0.1772875487
72	0.1766713746
73	0.1759917362
74	0.1754774494
75	0.1750197819
76	0.1744512022
77	0.1739047908
78	0.1734128459
79	0.1730022634
80	0.1725555063
81	0.1720588339
82	0.1716504706
83	0.1713191148
84	0.1709769751
85	0.1706766638
86	0.170190726
87	0.169744214
88	0.1693580203
89	0.1690031999
90	0.1686705499
91	0.1684216443
92	0.1680746414
93	0.167736546
94	0.1674359954
95	0.1671496766
96	0.1669190009
97	0.1666691055
98	0.1664668362
99	0.1661960822
100	0.1659365784
101	0.165600934
102	0.1653614623
103	0.1651794518
104	0.1649318039
105	0.1646553809
106	0.1643695438
107	0.1641474291
108	0.1638927728
109	0.1636716685
110	0.1635578938
111	0.1634668591
112	0.1633138864
113	0.163104566
114	0.1629332742
115	0.1627694802
116	0.1625518097
117	0.1624005524
118	0.1621783331
119	0.1620316202
120	0.1619394711
121	0.1617796618
122	0.1616666158
123	0.1615380997
124	0.1613392791
125	0.161271338
126	0.1611289941
127	0.1609851852
128	0.160860491
129	0.1606683807
130	0.1605783149
131	0.1604069113
132	0.1602858751
133	0.1601735943
134	0.1600199511
135	0.1599281537
136	0.1598756788
137	0.1597923013
138	0.1596058622
139	0.1595353054
140	0.1594232152
141	0.1593236132
142	0.1592132001
143	0.1590748777
144	0.158965823
145	0.1589105188
146	0.1588726884
147	0.1588077044
148	0.1586998577
149	0.1586227976
150	0.1585162205
151	0.1584609726
152	0.1583751365
153	0.1582677181
154	0.1581763733
155	0.158088348
156	0.1580371066
157	0.1578978384
158	0.157851071
159	0.1578017543
160	0.1577375764
161	0.1576706611
162	0.1575405151
163	0.1575021917
164	0.1574179639
165	0.1573076216
166	0.1572213562
167	0.1571673292
168	0.1571673157
169	0.1571245114
170	0.1570749897
171	0.1570522672
172	0.1569948901
173	0.1569658393
174	0.1569227559
175	0.1569025844
176	0.1568734019
177	0.156805056
178	0.1567526858
179	0.1567043425
180	0.1566586517
181	0.1565690914
182	0.1565190999
183	0.1564875489
184	0.1564589447
185	0.1564040159
186	0.1564040134
187	0.156384345
188	0.156330584
189	0.1562828387
190	0.1562739757
191	0.1562059782
192	0.1561741482
193	0.1561556465
194	0.1560943315
195	0.1560034405
196	0.1559542232
197	0.1559269978
198	0.1558668296
199	0.1558059831
200	0.1557431161
201	0.1556517962
202	0.155571049
203	0.1555087637
204	0.1554663048
205	0.1554317361
206	0.1553916736
207	0.1553494939
208	0.1553005548
209	0.155277021
210	0.1552055231
211	0.1551935406
212	0.1551565758
213	0.155107588
214	0.1549126164
215	0.1548752493
216	0.1547568035
217	0.1547008176
218	0.1546793031
219	0.1546510815
