iter	Passed	Remaining
0	23	23025
1	60	30086
2	94	31499
3	131	32830
4	163	32546
5	190	31480
6	216	30767
7	251	31141
8	290	31970
9	309	30652
10	331	29785
11	363	29948
12	386	29347
13	413	29137
14	448	29424
15	467	28763
16	508	29388
17	540	29510
18	580	29955
19	605	29655
20	644	30028
21	680	30241
22	714	30348
23	740	30105
24	769	30012
25	802	30046
26	837	30167
27	870	30207
28	909	30463
29	945	30574
30	999	31240
31	1038	31401
32	1090	31953
33	1123	31909
34	1166	32157
35	1216	32564
36	1273	33150
37	1330	33673
38	1376	33912
39	1415	33971
40	1463	34231
41	1515	34560
42	1561	34749
43	1602	34812
44	1636	34732
45	1685	34956
46	1725	34978
47	1765	35020
48	1803	35002
49	1836	34896
50	1881	35011
51	1915	34921
52	1961	35039
53	1991	34886
54	2042	35090
55	2082	35109
56	2123	35131
57	2167	35200
58	2221	35423
59	2255	35338
60	2307	35518
61	2336	35352
62	2371	35275
63	2412	35276
64	2448	35222
65	2484	35164
66	2541	35390
67	2580	35372
68	2635	35564
69	2675	35539
70	2722	35618
71	2783	35881
72	2833	35977
73	2882	36065
74	2923	36052
75	2974	36163
76	3038	36422
77	3087	36493
78	3126	36445
79	3190	36688
80	3219	36527
81	3249	36382
82	3282	36261
83	3314	36143
84	3346	36022
85	3376	35882
86	3408	35767
87	3443	35691
88	3493	35754
89	3536	35762
90	3597	35935
91	3640	35929
92	3678	35874
93	3715	35813
94	3773	35951
95	3828	36049
96	3889	36208
97	3924	36125
98	3973	36163
99	4026	36240
100	4080	36318
101	4139	36439
102	4196	36543
103	4234	36484
104	4292	36589
105	4361	36783
106	4422	36907
107	4465	36882
108	4508	36855
109	4567	36951
110	4612	36942
111	4674	37064
112	4730	37132
113	4784	37183
114	4834	37207
115	4888	37255
116	4933	37231
117	4990	37300
118	5060	37462
119	5143	37718
120	5203	37799
121	5271	37938
122	5335	38039
123	5386	38051
124	5431	38018
125	5502	38166
126	5539	38077
127	5591	38095
128	5654	38180
129	5692	38094
130	5749	38139
131	5808	38193
132	5875	38302
133	5923	38279
134	5985	38351
135	6041	38381
136	6096	38405
137	6135	38327
138	6176	38258
139	6223	38230
140	6269	38193
141	6330	38248
142	6382	38251
143	6438	38272
144	6490	38271
145	6534	38223
146	6606	38332
147	6658	38331
148	6693	38231
149	6747	38233
150	6801	38240
151	6839	38158
152	6895	38171
