iter	Passed	Remaining
0	20	20087
1	58	29203
2	87	29175
3	135	33790
4	171	34063
5	202	33516
6	250	35559
7	289	35951
8	321	35393
9	342	33944
10	376	33807
11	407	33561
12	437	33203
13	468	32987
14	495	32548
15	519	31949
16	536	31014
17	566	30890
18	599	30959
19	637	31258
20	658	30711
21	685	30470
22	721	30655
23	751	30563
24	789	30789
25	811	30398
26	844	30435
27	863	29969
28	902	30206
29	943	30494
30	984	30788
31	1029	31136
32	1077	31581
33	1122	31902
34	1169	32247
35	1204	32243
36	1231	32044
37	1290	32659
38	1338	32975
39	1379	33110
40	1413	33060
41	1449	33056
42	1485	33067
43	1530	33260
44	1567	33274
45	1612	33435
46	1666	33795
47	1712	33959
48	1745	33879
49	1780	33831
50	1835	34158
51	1876	34206
52	1905	34052
53	1939	33975
54	1977	33974
55	2021	34071
56	2059	34070
57	2112	34314
58	2154	34359
59	2179	34149
60	2199	33861
61	2253	34086
62	2302	34251
63	2345	34300
64	2375	34171
65	2412	34137
66	2447	34077
67	2483	34041
68	2517	33967
69	2566	34102
70	2593	33939
71	2631	33914
72	2675	33977
73	2725	34106
74	2763	34083
75	2809	34159
76	2846	34115
77	2884	34099
78	2925	34107
79	2966	34119
80	2997	34011
81	3046	34101
82	3087	34111
83	3125	34078
84	3174	34170
85	3233	34366
86	3278	34410
87	3426	35509
88	3492	35753
89	3535	35751
90	3572	35683
91	3603	35568
92	3631	35420
93	3669	35366
94	3714	35381
95	3764	35445
96	3790	35286
97	3846	35403
98	3889	35393
99	3925	35332
100	3993	35545
101	4058	35733
102	4102	35726
103	4179	36006
104	4234	36093
105	4293	36211
106	4323	36081
107	4377	36151
108	4452	36393
109	4513	36522
110	4565	36566
111	4605	36514
112	4659	36575
113	4697	36509
114	4764	36666
115	4815	36695
116	4865	36720
117	4904	36660
118	4974	36828
119	5017	36793
120	5073	36854
121	5105	36741
122	5171	36875
123	5226	36923
124	5280	36963
125	5321	36913
126	5367	36893
127	5405	36823
128	5477	36982
129	5544	37108
130	5615	37249
131	5673	37305
132	5723	37309
133	5786	37394
134	5818	37279
135	5866	37267
136	5929	37348
137	5985	37390
138	6056	37517
139	6119	37588
140	6182	37664
141	6238	37692
142	6301	37767
143	6340	37691
144	6388	37668
145	6434	37637
146	6492	37673
147	6565	37795
148	6608	37742
149	6651	37691
150	6697	37655
151	6757	37701
152	6820	37759
153	6882	37808
154	6960	37943
155	7016	37959
156	7070	37961
157	7131	38003
158	7190	38032
159	7231	37967
160	7290	37993
161	7326	37900
162	7381	37905
163	7432	37889
164	7483	37869
165	7577	38068
166	7635	38087
167	7689	38082
168	7748	38102
169	7809	38129
170	7871	38159
171	7946	38252
172	8009	38287
173	8071	38317
174	8129	38322
175	8188	38335
176	8240	38314
177	8295	38307
178	8351	38306
179	8416	38340
180	8472	38338
181	8528	38333
182	8683	38765
183	8742	38769
184	8821	38861
185	8890	38907
186	8937	38855
187	8997	38862
188	9056	38860
189	9116	38864
190	9152	38764
191	9216	38787
192	9273	38776
193	9322	38730
194	9379	38720
195	9441	38728
196	9497	38712
197	9547	38673
198	9602	38652
199	9648	38595
200	9732	38689
201	9803	38729
202	9824	38573
203	9875	38533
204	9922	38479
205	9983	38481
206	10042	38473
207	10107	38485
208	10173	38505
209	10258	38589
210	10332	38635
211	10390	38622
212	10440	38576
213	10500	38565
214	10547	38509
215	10615	38528
216	10671	38506
217	10759	38596
218	10807	38540
219	10855	38488
220	10914	38472
221	10987	38504
222	11056	38523
223	11128	38552
224	11179	38507
225	11240	38495
226	11313	38525
227	11378	38526
228	11445	38534
229	11505	38518
230	11563	38495
231	11619	38465
232	11688	38475
233	11745	38448
234	11821	38481
235	11886	38479
236	11952	38480
237	12003	38432
238	12063	38411
239	12124	38392
240	12179	38357
241	12248	38363
242	12313	38358
243	12394	38402
244	12468	38423
245	12524	38387
246	12577	38342
247	12635	38315
248	12695	38289
249	12767	38302
250	12847	38337
251	12889	38258
252	12941	38209
253	12981	38127
254	13034	38080
255	13075	38002
256	13140	37989
257	13196	37951
258	13259	37935
259	13331	37943
260	13394	37926
261	13461	37918
262	13527	37907
263	13590	37888
264	13655	37875
265	13726	37876
266	13777	37822
267	13924	38033
268	13984	38003
269	14044	37973
270	14094	37915
271	14161	37903
272	14225	37883
273	14280	37838
274	14340	37807
275	14412	37806
276	14465	37755
277	14533	37744
278	14578	37674
279	14633	37630
280	14697	37605
281	14750	37556
282	14821	37551
283	14875	37503
284	14916	37422
285	14993	37431
286	15052	37394
287	15107	37348
288	15166	37312
289	15226	37278
290	15273	37213
291	15331	37172
292	15385	37123
293	15443	37085
294	15496	37033
295	15552	36989
296	15598	36921
297	15647	36860
298	15696	36801
299	15749	36749
300	15804	36701
301	15841	36614
302	15892	36558
303	15997	36625
304	16043	36558
305	16101	36518
306	16158	36475
307	16215	36432
308	16271	36387
309	16328	36343
310	16380	36290
311	16435	36241
312	16491	36197
313	16539	36134
314	16596	36091
315	16653	36047
316	16717	36019
317	16788	36006
318	16847	35966
319	16923	35961
320	16981	35921
321	17064	35930
322	17131	35908
323	17173	35830
324	17234	35794
325	17288	35743
326	17351	35710
327	17414	35677
328	17479	35650
329	17538	35607
330	17605	35584
331	17664	35541
332	17715	35484
333	17771	35436
334	17820	35375
335	17874	35324
336	17935	35284
337	18002	35260
338	18087	35268
339	18139	35212
340	18206	35185
341	18254	35120
342	18302	35058
343	18355	35003
344	18413	34959
345	18471	34913
346	18523	34857
347	18583	34816
348	18639	34768
349	18690	34710
350	18743	34657
351	18797	34604
352	18857	34562
353	18922	34531
354	18993	34508
355	19057	34475
356	19200	34582
357	19253	34527
358	19312	34482
359	19364	34425
360	19423	34382
361	19478	34330
362	19540	34290
363	19599	34245
364	19665	34212
365	19689	34107
366	19753	34070
367	19818	34035
368	19884	34003
369	19939	33950
370	20006	33918
371	20060	33865
372	20121	33822
373	20189	33792
374	20286	33810
375	20338	33753
376	20407	33724
377	20454	33658
378	20514	33612
379	20580	33578
380	20632	33520
381	20731	33539
382	20798	33505
383	20858	33460
384	20930	33434
385	20986	33382
386	21044	33334
387	21100	33282
388	21157	33232
389	21240	33222
390	21313	33196
391	21367	33141
392	21406	33062
393	21467	33019
394	21509	32944
395	21571	32901
396	21617	32834
397	21665	32770
398	21718	32713
399	21787	32681
400	21836	32618
401	21890	32563
402	21943	32506
403	22002	32459
404	22062	32413
405	22123	32368
406	22182	32320
407	22238	32267
408	22320	32252
409	22390	32220
410	22440	32159
411	22482	32086
412	22542	32040
413	22586	31970
414	22646	31923
415	22685	31847
416	22749	31805
417	22805	31753
418	22863	31703
419	22911	31639
420	22949	31561
421	23012	31519
422	23077	31479
423	23129	31421
424	23174	31354
425	23227	31296
426	23292	31256
427	23445	31333
428	23504	31284
429	23574	31249
430	23634	31201
431	23686	31143
432	23755	31107
433	23818	31062
434	23885	31023
435	23938	30966
436	23997	30917
437	24052	30862
438	24094	30790
439	24153	30741
440	24197	30672
441	24254	30620
442	24325	30585
443	24383	30534
444	24471	30521
445	24538	30480
446	24601	30435
447	24668	30395
448	24725	30342
449	24769	30274
450	24831	30226
451	24876	30159
452	24927	30100
453	24985	30048
454	25044	29998
455	25089	29931
456	25145	29877
457	25200	29822
458	25255	29766
459	25303	29703
460	25364	29656
461	25419	29600
462	25510	29587
463	25570	29538
464	25623	29480
465	25684	29432
466	25736	29374
467	25786	29312
468	25825	29239
469	25884	29188
470	25947	29142
471	25993	29077
472	26051	29025
473	26117	28982
474	26175	28930
475	26231	28876
476	26279	28813
477	26338	28762
478	26395	28710
479	26455	28660
480	26542	28639
481	26617	28605
482	26677	28555
483	26744	28512
484	26802	28460
485	26856	28404
486	26923	28361
487	26968	28294
488	27033	28249
489	27086	28191
490	27140	28135
491	27203	28087
492	27269	28043
493	27327	27990
494	27389	27942
495	27430	27872
496	27499	27831
497	27594	27815
498	27646	27757
499	27708	27708
500	27763	27652
501	27822	27600
502	27880	27547
503	27930	27487
504	27996	27442
505	28064	27398
506	28128	27351
507	28188	27300
508	28254	27255
509	28319	27208
510	28374	27152
511	28430	27097
512	28477	27034
513	28523	26969
514	28670	27000
515	28725	26944
516	28780	26888
517	28831	26827
518	28892	26777
519	28960	26732
520	29020	26680
521	29072	26621
522	29151	26587
523	29246	26567
524	29313	26521
525	29381	26476
526	29448	26430
527	29502	26373
528	29565	26323
529	29617	26264
530	29690	26224
531	29752	26173
532	29811	26119
533	29865	26062
534	29915	26001
535	29971	25945
536	30041	25901
537	30097	25846
538	30149	25786
539	30211	25735
540	30268	25681
541	30328	25627
542	30390	25577
543	30453	25526
544	30510	25472
545	30562	25412
546	30595	25337
547	30636	25269
548	30725	25240
549	30784	25187
550	30846	25136
551	30897	25076
552	30943	25011
553	30989	24948
554	31039	24887
555	31099	24834
556	31154	24777
557	31222	24732
558	31282	24678
559	31329	24615
560	31394	24567
561	31456	24516
562	31525	24470
563	31583	24415
564	31647	24365
565	31696	24304
566	31786	24273
567	31845	24220
568	31890	24156
569	31953	24105
570	32014	24053
571	32071	23997
572	32141	23952
573	32194	23893
574	32272	23853
575	32320	23791
576	32385	23741
577	32445	23688
578	32497	23629
579	32551	23571
580	32599	23509
581	32649	23449
582	32708	23395
